                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.79837,                0.54057,                 1.6024,                0.79214,                0.78902,                 0.8281,                0.66293,                0.71028,                0.44999,                 1.6509,               0.007822,               0.007822,               0.007822
                     68,                0.79684,                0.53942,                 1.6134,                0.80022,                0.78336,                0.83228,                0.66762,                0.70956,                0.44852,                  1.649,               0.007789,               0.007789,               0.007789
                     69,                0.79828,                0.54036,                 1.6076,                0.80474,                0.78761,                0.83598,                0.66952,                 0.7077,                0.44761,                 1.6475,               0.007756,               0.007756,               0.007756
                     70,                 0.7996,                0.53617,                 1.5865,                0.79181,                0.78442,                0.82726,                0.66272,                 0.7074,                0.45004,                 1.6486,               0.007723,               0.007723,               0.007723
                     71,                0.79001,                 0.5398,                 1.5936,                0.79366,                0.79052,                0.83265,                0.66721,                0.70676,                0.44828,                 1.6473,                0.00769,                0.00769,                0.00769
                     72,                0.79538,                0.53996,                 1.6043,                0.79569,                0.79047,                 0.8319,                0.66622,                0.70597,                0.44703,                 1.6495,               0.007657,               0.007657,               0.007657
                     73,                0.79279,                0.53942,                 1.5977,                0.79488,                0.78871,                0.83412,                0.66822,                0.70698,                 0.4471,                 1.6419,               0.007624,               0.007624,               0.007624
                     74,                0.78583,                0.53249,                 1.5873,                0.80283,                0.77893,                0.83306,                0.66635,                0.70695,                0.44695,                 1.6448,               0.007591,               0.007591,               0.007591
                     75,                0.79406,                0.53216,                  1.585,                0.79352,                0.79242,                 0.8317,                0.66552,                0.70589,                0.44681,                 1.6429,               0.007558,               0.007558,               0.007558
                     76,                0.78654,                0.53382,                 1.5966,                0.79238,                0.78681,                0.83159,                0.66631,                 0.7047,                0.44671,                 1.6427,               0.007525,               0.007525,               0.007525
                     77,                0.78395,                0.53105,                 1.5825,                0.79665,                0.79271,                0.83524,                0.66982,                0.70532,                0.44558,                 1.6428,               0.007492,               0.007492,               0.007492
                     78,                0.77752,                0.52578,                 1.5853,                0.79763,                0.79672,                0.83861,                0.67341,                 0.7051,                0.44378,                 1.6431,               0.007459,               0.007459,               0.007459
                     79,                0.78213,                0.52587,                 1.5741,                0.79547,                0.79149,                0.83488,                0.67057,                0.70486,                0.44443,                 1.6417,               0.007426,               0.007426,               0.007426
                     80,                0.78049,                0.52227,                  1.602,                0.79301,                0.79889,                0.83537,                0.67098,                0.70405,                0.44348,                 1.6423,               0.007393,               0.007393,               0.007393
                     81,                0.77927,                0.51973,                 1.5945,                0.80046,                0.80381,                0.84074,                 0.6755,                0.70343,                 0.4422,                 1.6421,                0.00736,                0.00736,                0.00736
                     82,                0.78747,                0.52714,                 1.5872,                0.79654,                0.80131,                0.83944,                0.67415,                0.70302,                0.44272,                 1.6415,               0.007327,               0.007327,               0.007327
                     83,                0.78404,                0.52135,                 1.5884,                0.79851,                0.80202,                0.84053,                0.67508,                0.70208,                0.44222,                 1.6399,               0.007294,               0.007294,               0.007294
                     84,                0.77684,                0.52205,                 1.5998,                0.79664,                0.80673,                0.84115,                0.67598,                0.70253,                0.44096,                 1.6392,               0.007261,               0.007261,               0.007261
